uid	sample	species	rank	ecotype	collection
GCF_000490995.1	S063	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000490975.1	S064	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000490955.1	S065	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000490935.1	S066	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000490915.1	S067	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000490895.1	S068	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000490875.1	S069	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000490855.1	S070	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000490835.1	S071	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000490815.1	S072	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000490795.1	S073	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000490775.1	S074	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000490755.1	S075	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000490735.1	S076	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000490715.1	S077	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000490695.1	S078	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000490675.1	S079	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000490655.1	S081	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000490635.1	S082	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000490615.1	S083	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000490595.1	S086	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000490575.1	S087	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000490555.1	S088	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000490535.1	S090	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000490515.1	S091	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000493715.1	S092	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000490485.1	S093	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000490465.1	S094	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000490445.1	S095	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000493225.1	S096	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000490415.1	S097	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_000490395.1	S098	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	Hybrid	Yang
GCF_000490375.1	S100	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppUS1	Yang
GCF_000490355.1	S101	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppUS2	Yang
GCF_000490335.1	S104	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_000490315.1	S105	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000490295.1	S106	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000490275.1	S108	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000490255.1	S109	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000490235.1	S110	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000490215.1	S111	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000490195.1	S112	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000490175.1	S113	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000490155.1	S114	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000490135.1	S115	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000490115.1	S116	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000490095.1	S117	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000490075.1	S118	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000490055.1	S119	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000490035.1	S120	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000490015.1	S121	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000489995.1	S122	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000489975.1	S123	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000489955.1	S124	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000489935.1	S125	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000489915.1	S126	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000489895.1	S128	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000489875.1	S129	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_000489855.1	S130	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000489835.1	S131	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000489815.1	S132	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000489795.1	S133	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000489775.1	S134	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000489755.1	S135	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000489735.1	S136	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000489715.1	S137	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000489695.1	S138	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000489675.1	S139	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000489655.1	S140	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000489635.1	S141	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000489615.1	S142	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000489595.1	S143	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000489575.1	S144	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000489555.1	S145	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000489535.1	S146	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000489515.1	S147	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000489495.1	S148	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000489475.1	S150	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000489455.1	S151	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000489435.1	S152	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000489415.1	S153	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000489395.1	S154	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000489375.1	S155	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000489355.1	S156	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000489335.1	S157	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000489315.1	S158	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000489295.1	S159	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000489255.1	S161	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000489235.1	S162	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000489215.1	S163	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000489195.1	S164	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000489175.1	S165	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000489155.1	S166	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000489135.1	S167	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000489115.1	S168	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000489095.1	S170	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000489075.1	S171	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000489055.1	S172	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000489035.1	S173	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000489015.1	S174	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001268005.1	S195-7	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_001268015.1	S349-10	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001273635.1	S357-21	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppUS2	Yang
GCF_001280655.1	S372-5	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppUS1	Yang
GCF_001267625.1	S383-6	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_001270235.1	S440-7	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppUS1	Yang
GCF_001267635.1	S448-16	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_001270215.1	S487-4	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001270145.1	S499-7	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_000522045.2	SBR10290	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_000958565.1	SG176	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000315135.1	SNUVpS-1	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000786835.1	T12739	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001608865.1	T8994	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_000786845.1	T9109	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000591495.1	TUMSAT_D06_S3	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000591455.1	TUMSAT_DE1_S1	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_000591515.1	TUMSAT_H01_S4	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppUS1	Yang
GCF_000591555.1	TUMSAT_H10_S6	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000568495.1	UCM-V493	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCA_000388025.1	v110	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000558885.2	V14/01	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001013435.1	VH3	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000500525.1	VIP4-0219	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000500505.1	VIP4-0395	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000500405.1	VIP4-0407	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000500425.1	VIP4-0434	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000500365.1	VIP4-0439	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000500485.1	VIP4-0444	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000500545.1	VIP4-0447	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000558925.2	VP2007-007	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppUS1	Yang
GCF_000454165.1	VP2007-095	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000454225.1	VP250	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000593285.2	VP-48	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCA_000662375.1	VP49	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000877415.1	VP551	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCA_000877605.1	VP766	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_000593305.2	VPCR-2009	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000454145.1	VP-NY4	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000593325.2	VPTS-2009	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000593345.2	VPTS-2010	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000593365.2	VPTS-2010_2	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppUS2	Yang
GCF_001608855.1	W501	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
