uid	sample	species	rank	ecotype	collection
GCF_001728645.1	CDC_K5582	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001728655.1	CDC_K5618	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_001728665.1	CDC_K5620	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_001728695.1	CDC_K5629	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_001728725.1	CDC_K5635	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_001728745.1	CDC_K5638	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_001728755.1	CDC_K5701	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001696115.1	CFSAN001174	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_000701045.2	CFSAN001595	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000707045.2	CFSAN001611	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_000706825.2	CFSAN001612	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_000707625.2	CFSAN001613	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_000707885.2	CFSAN001614	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_000707245.2	CFSAN001617	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_000707525.2	CFSAN001618	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_000707545.2	CFSAN001619	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_000707565.2	CFSAN001620	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_000706925.1	CFSAN006130	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_000707325.2	CFSAN006131	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_000707845.1	CFSAN006132	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_000707865.2	CFSAN006133	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_000706845.2	CFSAN006134	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_000707405.1	CFSAN007429	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000707425.2	CFSAN007430	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000707385.2	CFSAN007431	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000707445.2	CFSAN007432	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000707485.2	CFSAN007434	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000706885.2	CFSAN007436	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000707165.1	CFSAN007437	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_000707145.1	CFSAN007438	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000707025.1	CFSAN007439	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppUS1	Yang
GCF_000707005.2	CFSAN007440	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppUS1	Yang
GCF_000706945.2	CFSAN007441	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppUS1	Yang
GCF_000707305.2	CFSAN007442	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppUS1	Yang
GCF_000707105.2	CFSAN007443	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppUS1	Yang
GCF_000707065.2	CFSAN007444	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000707125.2	CFSAN007445	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppUS2	Yang
GCF_000707685.2	CFSAN007446	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000707705.2	CFSAN007447	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000707725.2	CFSAN007448	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000707745.2	CFSAN007449	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000707765.2	CFSAN007450	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000707805.2	CFSAN007451	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000707785.2	CFSAN007452	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000707825.2	CFSAN007453	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
